,year,date,venue,crowd,match_id,home_team,away_team,home_team_score,away_team_score
117,2019, Thu 27 Jun 7:20pm,Marvel Stadium,25195,9838,Essendon, GWS,77,71
118,2019, Fri 28 Jun 7:50pm,GMHBA Stadium,28108,9839,Geelong, Adelaide,96,69
119,2019, Sat 29 Jun 1:45pm,MCG,31895,9840,Hawthorn, West Coast,71,77
120,2019, Sat 29 Jun 4:35pm,SCG,26194,9841,Sydney, Gold Coast,93,51
121,2019, Sat 29 Jun 7:10pm,Adelaide Oval,25623,9843,Port Adelaide, Western Bulldogs,41,66
122,2019, Sat 29 Jun 7:25pm,Marvel Stadium,38801,9842,Collingwood, North Melbourne,37,81
123,2019, Sun 30 Jun 1:10pm,Marvel Stadium,40962,9844,St Kilda, Richmond,70,103
124,2019, Sun 30 Jun 3:20pm,Optus Stadium,37293,9846,Fremantle, Carlton,75,79
125,2019, Sun 30 Jun 3:20pm,Gabba,24809,9845,Brisbane, Melbourne,107,74
126,2019, Fri 5 Jul 7:50pm,MCG,66407,9847,Hawthorn, Collingwood,67,63
127,2019, Sat 6 Jul 1:45pm,MCG,60199,9848,Essendon, Sydney,76,66
128,2019, Sat 6 Jul 2:10pm,Metricon Stadium,16031,9849,Gold Coast, Richmond,58,150
129,2019, Sat 6 Jul 4:05pm,Adelaide Oval,50544,9850,Adelaide, Port Adelaide,44,101
130,2019, Sat 6 Jul 6:10pm,Optus Stadium,56358,9852,Fremantle, West Coast,31,122
131,2019, Sat 6 Jul 7:25pm,Marvel Stadium,35641,9851,Western Bulldogs, Geelong,71,55
132,2019, Sun 7 Jul 1:10pm,MCG,55593,9853,Carlton, Melbourne,100,105
133,2019, Sun 7 Jul 3:20pm,Blundstone Arena,10696,9854,North Melbourne, St Kilda,112,73
134,2019, Sun 7 Jul 4:40pm,GIANTS Stadium,12268,9855,GWS, Brisbane,74,94
135,2019, Fri 12 Jul 6:10pm,Optus Stadium,56251,9856,West Coast, Collingwood,77,78
136,2019, Sat 13 Jul 1:45pm,SCG,32570,9857,Sydney, Carlton,62,69
137,2019, Sat 13 Jul 2:10pm,UTAS Stadium,13006,9858,Hawthorn, Fremantle,84,53
138,2019, Sat 13 Jul 4:35pm,Marvel Stadium,45682,9859,Essendon, North Melbourne,86,81
139,2019, Sat 13 Jul 7:25pm,GMHBA Stadium,24035,9861,Geelong, St Kilda,84,57
140,2019, Sat 13 Jul 7:25pm,Metricon Stadium,8741,9860,Gold Coast, Adelaide,56,151
141,2019, Sun 14 Jul 1:10pm,MCG,38986,9862,Richmond, GWS,94,67
142,2019, Sun 14 Jul 3:20pm,Marvel Stadium,26781,9863,Western Bulldogs, Melbourne,74,66
143,2019, Sun 14 Jul 4:10pm,Adelaide Oval,33118,9864,Port Adelaide, Brisbane,49,97
144,2019, Fri 19 Jul 7:20pm,Adelaide Oval,47735,9865,Adelaide, Essendon,75,96
145,2019, Sat 20 Jul 1:45pm,MCG,41642,9866,Richmond, Port Adelaide,101,63
146,2019, Sat 20 Jul 2:10pm,Marvel Stadium,31765,9867,Carlton, Gold Coast,99,75
147,2019, Sat 20 Jul 4:35pm,GIANTS Stadium,15467,9868,GWS, Collingwood,122,75
148,2019, Sat 20 Jul 6:10pm,Optus Stadium,33594,9870,Fremantle, Sydney,52,51
149,2019, Sat 20 Jul 7:25pm,Gabba,23833,9869,Brisbane, North Melbourne,87,75
150,2019, Sun 21 Jul 1:10pm,MCG,53636,9871,Geelong, Hawthorn,61,85
151,2019, Sun 21 Jul 2:50pm,TIO Traegar Park,7164,9872,Melbourne, West Coast,78,91
152,2019, Sun 21 Jul 4:40pm,Marvel Stadium,21705,9873,St Kilda, Western Bulldogs,116,89
153,2019, Fri 26 Jul 7:50pm,MCG,78722,9874,Collingwood, Richmond,66,98
154,2019, Sat 27 Jul 1:45pm,UTAS Stadium,15157,9875,Hawthorn, Brisbane,60,87
155,2019, Sat 27 Jul 2:10pm,MCG,38369,9876,Carlton, Adelaide,87,60
156,2019, Sat 27 Jul 2:35pm,Optus Stadium,54376,9877,West Coast, North Melbourne,121,72
157,2019, Sat 27 Jul 7:10pm,Adelaide Oval,27591,9879,Port Adelaide, GWS,55,56
158,2019, Sat 27 Jul 7:25pm,Marvel Stadium,22854,9878,St Kilda, Melbourne,104,85
159,2019, Sun 28 Jul 1:10pm,Marvel Stadium,21181,9880,Western Bulldogs, Fremantle,113,66
160,2019, Sun 28 Jul 3:20pm,SCG,32911,9881,Sydney, Geelong,80,107
161,2019, Sun 28 Jul 4:40pm,Metricon Stadium,15759,9882,Gold Coast, Essendon,96,106
