,year,date,venue,crowd,match_id,home_team,away_team,home_team_score,away_team_score,Match_id,AF_Away,AF_Home,SC_Away,SC_Home,match_result,match_result_home_margin,match_result_away_margin,sc_result,sc_correct?,af_result,af_correct?,diff_fantasy_result
1773,2018, Sun 22 Jul 1:10pm,Marvel Stadium,30405,9664,Carlton,Hawthorn,52,124,9664,1673,1559,1803,1497,away_win,-72,72,away_win,True,away_win,True,False
1774,2018, Sun 22 Jul 1:20pm,Optus Stadium,46854,9665,West Coast,Western Bulldogs,100,46,9665,1389,1835,1473,1830,home_win,54,-54,home_win,True,home_win,True,False
1775,2018, Sun 22 Jul 4:10pm,Adelaide Oval,34693,9666,Port Adelaide,GWS,58,80,9666,1625,1592,1750,1548,away_win,-22,22,away_win,True,away_win,True,False
1776,2018, Fri 27 Jul 7:50pm,Marvel Stadium,42251,9667,Essendon,Sydney,109,66,9667,1355,1636,1475,1827,home_win,43,-43,home_win,True,home_win,True,False
1777,2018, Sat 28 Jul 1:45pm,MCG,88180,9668,Richmond,Collingwood,105,77,9668,1629,1476,1664,1639,home_win,28,-28,away_win,False,away_win,False,False
1778,2018, Sat 28 Jul 2:10pm,GMHBA Stadium,28226,9669,Geelong,Brisbane,120,78,9669,1483,1626,1525,1775,home_win,42,-42,home_win,True,home_win,True,False
1779,2018, Sat 28 Jul 4:35pm,GIANTS Stadium,12014,9670,GWS,St Kilda,86,61,9670,1541,1655,1609,1691,home_win,25,-25,home_win,True,home_win,True,False
1780,2018, Sat 28 Jul 7:10pm,Adelaide Oval,45880,9672,Adelaide,Melbourne,77,90,9672,1522,1692,1591,1706,away_win,-13,13,home_win,False,home_win,False,False
1781,2018, Sat 28 Jul 7:25pm,Metricon Stadium,10776,9671,Gold Coast,Carlton,44,79,9671,1693,1378,1814,1488,away_win,-35,35,away_win,True,away_win,True,False
1782,2018, Sun 29 Jul 1:10pm,Blundstone Arena,11176,9673,North Melbourne,West Coast,81,41,9673,1458,1678,1512,1786,home_win,40,-40,home_win,True,home_win,True,False
1783,2018, Sun 29 Jul 2:40pm,Optus Stadium,41845,9675,Fremantle,Hawthorn,53,112,9675,1852,1489,1894,1407,away_win,-59,59,away_win,True,away_win,True,False
1784,2018, Sun 29 Jul 3:20pm,Mars Stadium,6450,9674,Western Bulldogs,Port Adelaide,34,78,9674,1519,1338,1758,1540,away_win,-44,44,away_win,True,away_win,True,False
1785,2018, Fri 3 Aug 7:50pm,MCG,67054,9676,Richmond,Geelong,85,82,9676,1574,1534,1714,1582,home_win,3,-3,away_win,False,away_win,False,False
1786,2018, Sat 4 Aug 1:45pm,MCG,68857,9677,Hawthorn,Essendon,107,103,9677,1649,1728,1582,1715,home_win,4,-4,home_win,True,home_win,True,False
1787,2018, Sat 4 Aug 2:10pm,Gabba,18395,9678,Brisbane,North Melbourne,104,107,9678,1398,1671,1549,1749,away_win,-3,3,home_win,False,home_win,False,False
1788,2018, Sat 4 Aug 4:05pm,Adelaide Oval,50377,9679,Adelaide,Port Adelaide,96,93,9679,1432,1671,1540,1759,home_win,3,-3,home_win,True,home_win,True,False
1789,2018, Sat 4 Aug 7:25pm,Marvel Stadium,20748,9680,St Kilda,Western Bulldogs,68,103,9680,1675,1664,1712,1587,away_win,-35,35,away_win,True,away_win,True,False
1790,2018, Sat 4 Aug 7:25pm,SCG,39238,9681,Sydney,Collingwood,73,71,9681,1579,1671,1636,1659,home_win,2,-2,home_win,True,home_win,True,False
1791,2018, Sun 5 Aug 1:10pm,Marvel Stadium,16697,9682,Carlton,GWS,46,151,9682,1774,1326,2004,1299,away_win,-105,105,away_win,True,away_win,True,False
1792,2018, Sun 5 Aug 2:40pm,Optus Stadium,57375,9684,West Coast,Fremantle,142,84,9684,1282,1698,1404,1893,home_win,58,-58,home_win,True,home_win,True,False
1793,2018, Sun 5 Aug 3:20pm,MCG,23072,9683,Melbourne,Gold Coast,143,47,9683,1307,1963,1264,2036,home_win,96,-96,home_win,True,home_win,True,False
1794,2018, Fri 10 Aug 7:50pm,Marvel Stadium,37483,9685,Essendon,St Kilda,122,79,9685,1413,1729,1556,1742,home_win,43,-43,home_win,True,home_win,True,False
1795,2018, Sat 11 Aug 1:45pm,MCG,59529,9686,Hawthorn,Geelong,71,60,9686,1420,1681,1540,1757,home_win,11,-11,home_win,True,home_win,True,False
1796,2018, Sat 11 Aug 2:10pm,Metricon Stadium,18102,9687,Gold Coast,Richmond,51,125,9687,1609,1443,1833,1470,away_win,-74,74,away_win,True,away_win,True,False
1797,2018, Sat 11 Aug 4:05pm,Adelaide Oval,32534,9688,Port Adelaide,West Coast,58,62,9688,1553,1676,1593,1707,away_win,-4,4,home_win,False,home_win,False,False
1798,2018, Sat 11 Aug 7:25pm,Marvel Stadium,33390,9689,Collingwood,Brisbane,104,73,9689,1524,1620,1573,1726,home_win,31,-31,home_win,True,home_win,True,False
1799,2018, Sat 11 Aug 7:25pm,Canberra Oval,13249,9690,GWS,Adelaide,106,92,9690,1503,1588,1563,1741,home_win,14,-14,home_win,True,home_win,True,False
1800,2018, Sun 12 Aug 1:10pm,Marvel Stadium,27031,9691,North Melbourne,Western Bulldogs,85,92,9691,1610,1510,1768,1531,away_win,-7,7,away_win,True,away_win,True,False
1801,2018, Sun 12 Aug 2:40pm,Optus Stadium,40028,9693,Fremantle,Carlton,101,72,9693,1424,1609,1539,1761,home_win,29,-29,home_win,True,home_win,True,False
