,date,venue,crowd,match_id,home_team,away_team,home_team_score,away_team_score
63, Fri 18 May 7:50pm,MCG,75650,5406,Collingwood, Geelong,96,84
64, Sat 19 May 1:15pm,AAMI Stadium,14508,5407,Port Adelaide, North Melbourne,95,93
65, Sat 19 May 2:10pm,UTAS Stadium,12959,5408,Hawthorn, Fremantle,119,63
66, Sat 19 May 4:40pm,SCG,20818,5409,Sydney, Melbourne,138,37
67, Sat 19 May 7:10pm,TIO Stadium,8724,5410,Western Bulldogs, Gold Coast,72,34
68, Sat 19 May 7:45pm,MCG,80900,5411,Essendon, Richmond,128,109
69, Sun 20 May 1:10pm,Gabba,16049,5412,Brisbane, GWS,132,40
70, Sun 20 May 2:40pm,Domain Stadium,38174,5414,West Coast, St Kilda,121,91
71, Sun 20 May 3:15pm,Marvel Stadium,35919,5413,Carlton, Adelaide,55,124
72, Fri 25 May 7:50pm,Marvel Stadium,29118,5415,Western Bulldogs, Geelong,75,95
73, Sat 26 May 1:45pm,MCG,51617,5416,Richmond, Hawthorn,137,75
74, Sat 26 May 2:10pm,Metricon Stadium,12416,5417,Gold Coast, Port Adelaide,70,118
75, Sat 26 May 4:40pm,Marvel Stadium,34737,5418,St Kilda, Sydney,111,83
76, Sat 26 May 7:10pm,AAMI Stadium,44238,5419,Adelaide, Collingwood,49,75
77, Sat 26 May 7:40pm,GIANTS Stadium,11887,5420,GWS, Essendon,53,119
78, Sun 27 May 1:10pm,Marvel Stadium,19988,5421,North Melbourne, Brisbane,112,96
79, Sun 27 May 2:40pm,Domain Stadium,40905,5423,West Coast, Fremantle,84,36
80, Sun 27 May 3:15pm,MCG,28371,5422,Carlton, Melbourne,107,49
81, Fri 1 Jun 7:50pm,Marvel Stadium,49337,5424,St Kilda, Richmond,113,121
82, Sat 2 Jun 1:45pm,GMHBA Stadium,17243,5425,Geelong, GWS,126,61
83, Sat 2 Jun 2:10pm,UTAS Stadium,16143,5426,Hawthorn, North Melbourne,174,59
84, Sat 2 Jun 2:40pm,Domain Stadium,31392,5427,Fremantle, Adelaide,82,111
85, Sat 2 Jun 7:10pm,AAMI Stadium,24746,5428,Port Adelaide, Carlton,99,45
86, Sat 2 Jun 7:40pm,MCG,42987,5429,Essendon, Melbourne,52,58
87, Sun 3 Jun 1:10pm,Gabba,15546,5430,Brisbane, West Coast,102,100
88, Sun 3 Jun 3:15pm,SCG,13505,5431,Sydney, Western Bulldogs,132,40
89, Sun 3 Jun 4:40pm,MCG,36913,5432,Collingwood, Gold Coast,149,52
90, Fri 8 Jun 7:50pm,Marvel Stadium,47632,5433,Carlton, Geelong,85,97
91, Sat 9 Jun 2:10pm,MCG,43801,5434,Richmond, Fremantle,66,78
92, Sat 9 Jun 4:40pm,Metricon Stadium,12534,5435,Gold Coast, St Kilda,49,144
93, Sat 9 Jun 7:40pm,Marvel Stadium,42785,5436,Essendon, Sydney,82,86
94, Sun 10 Jun 4:10pm,AAMI Stadium,26638,5437,Port Adelaide, Hawthorn,62,108
95, Mon 11 Jun 3:15pm,MCG,64250,5438,Melbourne, Collingwood,87,129
96, ,BYE,,5439,Brisbane,,,
97, ,BYE,,5440,North Melbourne,,,
98, ,BYE,,5441,Adelaide,,,
99, ,BYE,,5442,Western Bulldogs,,,
100, ,BYE,,5443,West Coast,,,
101, ,BYE,,5444,GWS,,,
102, Thu 14 Jun 5:40pm,Domain Stadium,34224,5445,West Coast, Carlton,79,69
103, Fri 15 Jun 8:10pm,AAMI Stadium,36394,5446,Adelaide, St Kilda,115,111
104, Sat 16 Jun 2:10pm,GIANTS Stadium,7538,5447,GWS, Richmond,74,86
105, Sat 16 Jun 7:40pm,Metricon Stadium,10170,5448,Gold Coast, North Melbourne,80,87
106, Sun 17 Jun 1:10pm,MCG,35492,5449,Hawthorn, Brisbane,135,70
107, Sun 17 Jun 4:40pm,Marvel Stadium,16036,5450,Western Bulldogs, Port Adelaide,95,57
108, ,BYE,,5451,Sydney,,,
109, ,BYE,,5453,Essendon,,,
110, ,BYE,,5452,Geelong,,,
111, ,BYE,,5454,Melbourne,,,
112, ,BYE,,5456,Collingwood,,,
113, ,BYE,,5455,Fremantle,,,
114, Fri 22 Jun 7:50pm,SCG,27400,5457,Sydney, Geelong,80,74
115, Sat 23 Jun 2:10pm,Marvel Stadium,20146,5458,Western Bulldogs, Brisbane,56,114
116, Sat 23 Jun 4:40pm,MCG,62957,5459,Collingwood, West Coast,85,82
117, Sat 23 Jun 5:40pm,Domain Stadium,34567,5460,Fremantle, Essendon,89,113
118, Sun 24 Jun 3:15pm,MCG,20070,5461,Melbourne, GWS,135,57
119, Sun 24 Jun 4:40pm,Marvel Stadium,18866,5462,North Melbourne, Adelaide,121,89
120, ,BYE,,5463,Hawthorn,,,
121, ,BYE,,5464,Carlton,,,
122, ,BYE,,5465,St Kilda,,,
123, ,BYE,,5466,Richmond,,,
124, ,BYE,,5468,Gold Coast,,,
125, ,BYE,,5467,Port Adelaide,,,
126, Fri 29 Jun 7:50pm,MCG,65047,5469,Carlton, Hawthorn,70,120
127, Sat 30 Jun 1:40pm,AAMI Stadium,33780,5471,Adelaide, Richmond,106,87
