,Fanfooty Match ID,Team,DT,SC
170,http://live.fanfooty.com.au/game/matchcentre.html?id=3511,RI,1596,1682.0
171,http://live.fanfooty.com.au/game/matchcentre.html?id=3511,SY,1612,1616.0
172,http://live.fanfooty.com.au/game/matchcentre.html?id=3512,ME,1468,1456.0
173,http://live.fanfooty.com.au/game/matchcentre.html?id=3512,SK,1850,1845.0
174,http://live.fanfooty.com.au/game/matchcentre.html?id=3513,CO,1463,1689.0
175,http://live.fanfooty.com.au/game/matchcentre.html?id=3513,PA,1573,1608.0
176,http://live.fanfooty.com.au/game/matchcentre.html?id=3514,GE,1534,1692.0
177,http://live.fanfooty.com.au/game/matchcentre.html?id=3514,HW,1500,1648.0
178,http://live.fanfooty.com.au/game/matchcentre.html?id=3515,AD,1679,1683.0
179,http://live.fanfooty.com.au/game/matchcentre.html?id=3515,WC,1698,1621.0
180,http://live.fanfooty.com.au/game/matchcentre.html?id=3516,BL,1706,1604.0
181,http://live.fanfooty.com.au/game/matchcentre.html?id=3516,SK,1707,1739.0
182,http://live.fanfooty.com.au/game/matchcentre.html?id=3517,FR,1490,1540.0
183,http://live.fanfooty.com.au/game/matchcentre.html?id=3517,RI,1689,1752.0
184,http://live.fanfooty.com.au/game/matchcentre.html?id=3518,NM,1252,1366.0
185,http://live.fanfooty.com.au/game/matchcentre.html?id=3518,SY,1822,1951.0
186,http://live.fanfooty.com.au/game/matchcentre.html?id=3519,ES,1540,1627.0
187,http://live.fanfooty.com.au/game/matchcentre.html?id=3519,ME,1611,1667.0
188,http://live.fanfooty.com.au/game/matchcentre.html?id=3520,CA,1492,1523.0
189,http://live.fanfooty.com.au/game/matchcentre.html?id=3520,WB,1751,1769.0
190,http://live.fanfooty.com.au/game/matchcentre.html?id=3521,AD,1578,1649.0
191,http://live.fanfooty.com.au/game/matchcentre.html?id=3521,GE,1709,1673.0
192,http://live.fanfooty.com.au/game/matchcentre.html?id=3522,CO,1759,1789.0
193,http://live.fanfooty.com.au/game/matchcentre.html?id=3522,SK,1603,1516.0
194,http://live.fanfooty.com.au/game/matchcentre.html?id=3523,BL,1267,1258.0
195,http://live.fanfooty.com.au/game/matchcentre.html?id=3523,HW,1836,2057.0
196,http://live.fanfooty.com.au/game/matchcentre.html?id=3524,ES,1532,1514.0
197,http://live.fanfooty.com.au/game/matchcentre.html?id=3524,WC,1671,1807.0
198,http://live.fanfooty.com.au/game/matchcentre.html?id=3525,PA,1404,1431.0
199,http://live.fanfooty.com.au/game/matchcentre.html?id=3525,WB,1829,1906.0
200,http://live.fanfooty.com.au/game/matchcentre.html?id=3526,CA,1465,1389.0
201,http://live.fanfooty.com.au/game/matchcentre.html?id=3526,SY,1778,1916.0
202,http://live.fanfooty.com.au/game/matchcentre.html?id=3527,NM,1693,1827.0
203,http://live.fanfooty.com.au/game/matchcentre.html?id=3527,RI,1366,1479.0
204,http://live.fanfooty.com.au/game/matchcentre.html?id=3528,FR,1485,1696.0
205,http://live.fanfooty.com.au/game/matchcentre.html?id=3528,ME,1601,1626.0
206,http://live.fanfooty.com.au/game/matchcentre.html?id=3529,HW,1411,1645.0
207,http://live.fanfooty.com.au/game/matchcentre.html?id=3529,SK,1610,1697.0
208,http://live.fanfooty.com.au/game/matchcentre.html?id=3530,CO,1713,1954.0
209,http://live.fanfooty.com.au/game/matchcentre.html?id=3530,RI,1393,1362.0
210,http://live.fanfooty.com.au/game/matchcentre.html?id=3531,BL,1452,1344.0
211,http://live.fanfooty.com.au/game/matchcentre.html?id=3531,GE,1900,1978.0
212,http://live.fanfooty.com.au/game/matchcentre.html?id=3532,ES,1643,1776.0
213,http://live.fanfooty.com.au/game/matchcentre.html?id=3532,NM,1503,1528.0
214,http://live.fanfooty.com.au/game/matchcentre.html?id=3533,CA,1699,1768.0
215,http://live.fanfooty.com.au/game/matchcentre.html?id=3533,WC,1364,1539.0
216,http://live.fanfooty.com.au/game/matchcentre.html?id=3534,FR,1296,1271.0
217,http://live.fanfooty.com.au/game/matchcentre.html?id=3534,WB,1939,2038.0
218,http://live.fanfooty.com.au/game/matchcentre.html?id=3535,ME,1638,1870.0
219,http://live.fanfooty.com.au/game/matchcentre.html?id=3535,SY,1337,1449.0
220,http://live.fanfooty.com.au/game/matchcentre.html?id=3536,AD,1397,1512.0
