"","scores","urls","ID"
"190","76-65","ft_match_statistics?mid","9917"
"191","109-64","ft_match_statistics?mid","9918"
"192","88-83","ft_match_statistics?mid","9910"
"193","129-61","ft_match_statistics?mid","9915"
"194","67-105","ft_match_statistics?mid","9914"
"195","55-127","ft_match_statistics?mid","9912"
"196","121-87","ft_match_statistics?mid","9916"
"197","82-55","ft_match_statistics?mid","9911"
"198","110-67","ft_match_statistics?mid","9913"
"199","116-61","ft_match_statistics?mid","9919"
"200","51-61","ft_match_statistics?mid","9920"
"201","113-55","ft_match_statistics?mid","9921"
"202","65-112","ft_match_statistics?mid","9922"
"203","88-68","ft_match_statistics?mid","9923"
"204","80-83","ft_match_statistics?mid","9924"
"205","85-66","ft_match_statistics?mid","9925"
"206","52-56","ft_match_statistics?mid","9926"
"207","114-25","ft_match_statistics?mid","9927"
